uid;name;span;source;code
"VARIABLE:::CVCUS01YFAKE:::CUST-DOB-YYYY-MM-DD";"CUST-DOB-YYYY-MM-DD";"1164:1229";"/CVCUS01YFAKE.cpy";"           05  CUST-DOB-YYYY-MM-DD                     PIC X(10)."
"VARIABLE:::CVCUS01YFAKE:::CUST-EFT-ACCOUNT-ID";"CUST-EFT-ACCOUNT-ID";"1230:1295";"/CVCUS01YFAKE.cpy";"           05  CUST-EFT-ACCOUNT-ID                     PIC X(10)."
"VARIABLE:::CVCUS01YFAKE:::CUST-FICO-CREDIT-SCORE";"CUST-FICO-CREDIT-SCORE";"1362:1427";"/CVCUS01YFAKE.cpy";"           05  CUST-FICO-CREDIT-SCORE                  PIC 9(03)."
"VARIABLE:::CVCUS01YFAKE:::CUST-FIRST-NAME";"CUST-FIRST-NAME";"297:362";"/CVCUS01YFAKE.cpy";"           05  CUST-FIRST-NAME                         PIC X(25)."
"VARIABLE:::CVCUS01YFAKE:::CUST-GOVT-ISSUED-ID";"CUST-GOVT-ISSUED-ID";"1098:1163";"/CVCUS01YFAKE.cpy";"           05  CUST-GOVT-ISSUED-ID                     PIC X(20)."
"VARIABLE:::CVCUS01YFAKE:::CUST-ID";"CUST-ID";"231:296";"/CVCUS01YFAKE.cpy";"           05  CUST-ID                                 PIC 9(09)."
"VARIABLE:::CVCUS01YFAKE:::CUST-LAST-NAME";"CUST-LAST-NAME";"429:494";"/CVCUS01YFAKE.cpy";"           05  CUST-LAST-NAME                          PIC X(25)."
"VARIABLE:::CVCUS01YFAKE:::CUST-MIDDLE-NAME";"CUST-MIDDLE-NAME";"363:428";"/CVCUS01YFAKE.cpy";"           05  CUST-MIDDLE-NAME                        PIC X(25)."
"VARIABLE:::CVCUS01YFAKE:::CUST-PHONE-NUM-1";"CUST-PHONE-NUM-1";"900:965";"/CVCUS01YFAKE.cpy";"           05  CUST-PHONE-NUM-1                        PIC X(15)."
"VARIABLE:::CVCUS01YFAKE:::CUST-PHONE-NUM-2";"CUST-PHONE-NUM-2";"966:1031";"/CVCUS01YFAKE.cpy";"           05  CUST-PHONE-NUM-2                        PIC X(15)."
"VARIABLE:::CVCUS01YFAKE:::CUST-PRI-CARD-HOLDER-IND";"CUST-PRI-CARD-HOLDER-IND";"1296:1361";"/CVCUS01YFAKE.cpy";"           05  CUST-PRI-CARD-HOLDER-IND                PIC X(01)."
"VARIABLE:::CVCUS01YFAKE:::CUST-SSN";"CUST-SSN";"1032:1097";"/CVCUS01YFAKE.cpy";"           05  CUST-SSN                                PIC 9(09)."
"VARIABLE:::CVCUS01Y:::CUST-ADDR-COUNTRY-CD";"CUST-ADDR-COUNTRY-CD";"767:832";"/CVCUS01Y.cpy";"           05  CUST-ADDR-COUNTRY-CD                    PIC X(03)."
