src_uid;dst_uid;kind
"VARIABLE:::CBLDB22:::INPUT-SWITCH";"VARIABLE:::CBLDB22:::NOMORE-INPUT";"condition"
"VARIABLE:::CBLDB22:::IOAREA";"VARIABLE:::CBLDB22:::LNAME";"child"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-BALANCE-O";"child"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-COMMENT-O";"child"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-FIRSTN-O";"child"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-LASTN-O";"child"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-LIMIT-O";"child"
"VARIABLE:::CBLDB22:::REPREC";"VARIABLE:::CBLDB22:::ACCT-NO-O";"child"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-ADDR1";"child"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-ADDR2";"child"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-ADDR3";"child"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-BALANCE";"child"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-COMMENT";"child"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-FIRSTN";"child"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-LASTN";"child"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-LIMIT";"child"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-NO";"child"
"VARIABLE:::CBLDB23:::CUSTOMER-RECORD";"VARIABLE:::CBLDB23:::ACCT-RSRVD";"child"
"VARIABLE:::CBLDB23:::ERROR-MESSAGE";"VARIABLE:::CBLDB23:::ERROR-LEN";"child"
"VARIABLE:::CBLDB23:::ERROR-MESSAGE";"VARIABLE:::CBLDB23:::ERROR-TEXT";"child"
"VARIABLE:::CBLDB23:::INPUT-SWITCH";"VARIABLE:::CBLDB23:::NOMORE-INPUT";"condition"
"VARIABLE:::CBLDB23:::IOAREA";"VARIABLE:::CBLDB23:::STATE";"child"
"VARIABLE:::CBLDB23:::REPREC";"VARIABLE:::CBLDB23:::ACCT-ADDR3-O";"child"
"VARIABLE:::CBLDB23:::REPREC";"VARIABLE:::CBLDB23:::ACCT-FIRSTN-O";"child"
"VARIABLE:::CBLDB23:::REPREC";"VARIABLE:::CBLDB23:::ACCT-LASTN-O";"child"
"VARIABLE:::CBLDB23:::REPREC";"VARIABLE:::CBLDB23:::ACCT-NO-O";"child"
